Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-1_Full64; Runtime version N-2017.12-SP2-1_Full64;  Mar 13 19:03 2020
start
Time|reset|load_in|CDB_PRF_idx[1]|CDB_valid|opa_in|opa_valid_in|opb_in|opb_valid_in|inst_out_valid|opa_out[0]|opb_out[0]|num_is_free|is_free_hub|ready_hub
   0  x    x        xx         xxx   xxxxxxxx     x     xxxxxxxx     x           000    00000000   00000000      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx
 460  0    1        00         111   d86a6ab0     1     00000005     0           111    dcef90b9   00000000      4    1100000000100001    0011111100001110
 465  0    1        00         111   d86a6ab0     1     00000005     0           111    d0bc5ea1   a2e62045      4    0011000000100010    1000111110001100
 470  0    1        00         000   d86a6ab0     1     00000005     0           111    d0bc5ea1   a2e62045      4    0011000000100010    1000111110001100
 475  0    1        00         000   d86a6ab0     1     00000005     0           111    00000000   00000000      4    1000100000100100    0000011110001000
 480  0    1        05         111   f0b14ee1     1     64b5e3c9     1           111    00000000   00000000      4    1000100000100100    0000011110001000
 485  0    1        05         111   f0b14ee1     1     64b5e3c9     1           111    1cde7139   00000000      4    0000011000101000    1111100111010111
 490  0    1        05         000   00000031     0     00000037     0           111    1cde7139   00000000      4    0000011000101000    1111100111010111
 495  0    1        05         000   00000031     0     00000037     0           111    1cde7139   00000000      4    1100000000100001    0011100111010110
 500  0    1        31         111   902a3a20     1     00000037     0           111    1cde7139   00000000      4    1100000000100001    0011100111010110
 505  0    1        31         111   902a3a20     1     00000037     0           111    0aec3515   a18bee43      4    0011000000100010    0000100111010100
 510  0    1        31         000   902a3a20     1     00000037     0           111    0aec3515   a18bee43      4    0011000000100010    0000100111010100
 515  0    1        31         000   902a3a20     1     00000037     0           111    00000000   00000000      4    0000100100100100    0000000011010000
 520  0    1        37         111   86dcf00d     1     cf63da9e     1           111    00000000   00000000      4    0000100100100100    0000000011010000
 525  0    1        37         111   86dcf00d     1     cf63da9e     1           111    2ab8f755   ffffffff      4    0000000011110000    1111111100001111
 530  0    1        37         000   00000015     0     00000012     0           111    2ab8f755   ffffffff      4    0000000011110000    1111111100001111
 535  0    1        37         000   00000015     0     00000012     0           111    2ab8f755   ffffffff      4    1100000000100001    0011111100001110
 540  0    1        15         111   4219e784     1     00000012     0           111    2ab8f755   ffffffff      4    1100000000100001    0011111100001110
 545  0    1        15         111   4219e784     1     00000012     0           111    6e8af5dd   bccc4279      4    0011000000100010    0000111100001100
 550  0    1        15         000   4219e784     1     00000012     0           111    6e8af5dd   bccc4279      4    0011000000100010    0000111100001100
 555  0    1        15         000   4219e784     1     00000012     0           111    00000000   ffffffff      4    0000110000100100    0000001100001000
 560  0    1        12         111   352d616a     1     3e6f0f7c     1           111    00000000   ffffffff      4    0000110000100100    0000001100001000
 565  0    1        12         111   352d616a     1     3e6f0f7c     1           111    a95fc452   00000000      4    0000001100101000    1111110011010111
 570  0    1        12         000   00000014     0     0000001c     0           111    a95fc452   00000000      4    0000001100101000    1111110011010111
 575  0    1        12         000   00000014     0     0000001c     0           111    a95fc452   00000000      4    1100000000100001    0011110011010110
 580  0    1        14         111   da058ab4     1     0000001c     0           111    a95fc452   00000000      4    1100000000100001    0011110011010110
 585  0    1        14         111   da058ab4     1     0000001c     0           111    0beac117   d55bbcaa      4    0011000000100010    0000110011010100
 590  0    1        14         000   da058ab4     1     0000001c     0           111    0beac117   d55bbcaa      4    0011000000100010    0000110011010100
 595  0    1        14         000   da058ab4     1     0000001c     0           111    ffffffff   00000000      4    0000110000100100    0000000011010000
 600  0    1        1c         111   b522406a     1     a5e79e4b     1           111    ffffffff   00000000      4    0000110000100100    0000000011010000
 605  0    1        1c         111   b522406a     1     a5e79e4b     1           111    9caf7a39   00000000      4    0000000011110000    1111111100001111
 610  0    1        1c         000   00000027     0     00000002     0           111    9caf7a39   00000000      4    0000000011110000    1111111100001111
 615  0    1        1c         000   00000027     0     00000002     0           111    9caf7a39   00000000      4    1100000000100001    0011111100001110
 620  0    1        27         111   8e054c1c     1     00000002     0           111    9caf7a39   00000000      4    1100000000100001    0011111100001110
 625  0    1        27         111   8e054c1c     1     00000002     0           111    03e9b707   746affe8      4    0011000000100010    0000111100001100
 630  0    1        27         000   8e054c1c     1     00000002     0           111    03e9b707   746affe8      4    0011000000100010    0000111100001100
 635  0    1        27         000   8e054c1c     1     00000002     0           111    ffffffff   00000000      4    0000110000100100    0000001100001000
 640  0    1        02         111   aed72e5d     1     95a9a82b     1           111    ffffffff   00000000      4    0000110000100100    0000001100001000
 645  0    1        02         111   aed72e5d     1     95a9a82b     1           111    1000b720   ffffffff      4    0000001100101000    1111110011010111
 650  0    1        02         000   00000026     0     0000000f     0           111    1000b720   ffffffff      4    0000001100101000    1111110011010111
 655  0    1        02         000   00000026     0     0000000f     0           111    1000b720   ffffffff      4    1100000000100001    0011110011010110
 660  0    1        26         111   62fd49c5     1     0000000f     0           111    1000b720   ffffffff      4    1100000000100001    0011110011010110
 665  0    1        26         111   62fd49c5     1     0000000f     0           111    e471f8c8   4226a984      4    0011000000100010    0000110011010100
 670  0    1        26         000   62fd49c5     1     0000000f     0           111    e471f8c8   4226a984      4    0011000000100010    0000110011010100
 675  0    1        26         000   62fd49c5     1     0000000f     0           111    00000000   ffffffff      4    0000110000100100    0000000011010000
 680  0    1        0f         111   3b83cd77     1     4ddd4d9b     1           111    00000000   ffffffff      4    0000110000100100    0000000011010000
 685  0    1        0f         111   3b83cd77     1     4ddd4d9b     1           111    2ca81959   ffffffff      4    0000000011110000    1111111100001111
 690  0    1        0f         000   00000007     0     0000000b     0           111    2ca81959   ffffffff      4    0000000011110000    1111111100001111
 695  0    1        0f         000   00000007     0     0000000b     0           111    2ca81959   ffffffff      4    1100000000100001    0011111100001110
 700  0    1        07         111   611d9fc2     1     0000000b     0           111    2ca81959   ffffffff      4    1100000000100001    0011111100001110
 705  0    1        07         111   611d9fc2     1     0000000b     0           111    b4f9a469   ec3758d8      4    0011000000100010    0000111100001100
 710  0    1        07         000   611d9fc2     1     0000000b     0           111    b4f9a469   ec3758d8      4    0011000000100010    0000111100001100
 715  0    1        07         000   611d9fc2     1     0000000b     0           111    00000000   ffffffff      4    0000110000100100    0000001100001000
 720  0    1        0b         111   57fbb9af     1     8376ac06     1           111    00000000   ffffffff      4    0000110000100100    0000001100001000
 725  0    1        0b         111   57fbb9af     1     8376ac06     1           111    c0764280   ffffffff      4    0000001100101000    1111110011010111
 730  0    1        0b         000   00000029     0     0000002e     0           111    c0764280   ffffffff      4    0000001100101000    1111110011010111
 735  0    1        0b         000   00000029     0     0000002e     0           111    c0764280   ffffffff      4    1100000000100001    0011110011010110
 740  0    1        29         111   786271f0     1     0000002e     0           111    c0764280   ffffffff      4    1100000000100001    0011110011010110
 745  0    1        29         111   786271f0     1     0000002e     0           111    b302da66   7c41aff8      4    0011000000100010    0000110011010100
 750  0    1        29         000   786271f0     1     0000002e     0           111    b302da66   7c41aff8      4    0011000000100010    0000110011010100
 755  0    1        29         000   786271f0     1     0000002e     0           111    ffffffff   ffffffff      4    0000110000100100    0000000011010000
 760  0    1        2e         111   472e958e     1     d4b5e6a9     1           111    ffffffff   ffffffff      4    0000110000100100    0000000011010000
 765  0    1        2e         111   472e958e     1     d4b5e6a9     1           111    3437d568   ffffffff      4    0000000011110000    1111111100001111
 770  0    1        2e         000   00000011     0     0000003a     0           111    3437d568   ffffffff      4    0000000011110000    1111111100001111
 775  0    1        2e         000   00000011     0     0000003a     0           111    3437d568   ffffffff      4    1100000000100001    0011111100001110
 780  0    1        11         111   1513dd2a     1     0000003a     0           111    3437d568   ffffffff      4    1100000000100001    0011111100001110
 785  0    1        11         111   1513dd2a     1     0000003a     0           111    be9bbc7d   1e664d3c      4    0011000000100010    0000111100001100
 790  0    1        11         000   1513dd2a     1     0000003a     0           111    be9bbc7d   1e664d3c      4    0011000000100010    0000111100001100
 795  0    1        11         000   1513dd2a     1     0000003a     0           111    00000000   ffffffff      4    0000110000100100    0000001100001000
 800  0    1        3a         111   e4a800c9     1     eda71cdb     1           111    00000000   ffffffff      4    0000110000100100    0000001100001000
 805  0    1        3a         111   e4a800c9     1     eda71cdb     1           111    f2356ae4   00000000      4    0000001100101000    1111110011010111
 810  0    1        3a         000   0000003b     0     00000036     0           111    f2356ae4   00000000      4    0000001100101000    1111110011010111
 815  0    1        3a         000   0000003b     0     00000036     0           111    f2356ae4   00000000      4    1100000000100001    0011110011010110
 820  0    1        3b         111   644605c8     1     00000036     0           111    f2356ae4   00000000      4    1100000000100001    0011110011010110
 825  0    1        3b         111   644605c8     1     00000036     0           111    76de6bed   57c1d1af      4    0011000000100010    0000110011010100
 830  0    1        3b         000   644605c8     1     00000036     0           111    76de6bed   57c1d1af      4    0011000000100010    0000110011010100
 835  0    1        3b         000   644605c8     1     00000036     0           111    00000000   00000000      4    0000110000100100    0000000011010000
 840  0    1        36         111   e70f98ce     1     5ca26fb9     1           111    00000000   00000000      4    0000110000100100    0000000011010000
 845  0    1        36         111   e70f98ce     1     5ca26fb9     1           111    3cb3ab79   ffffffff      4    0000000011110000    1111111100001111
 850  0    1        36         000   0000000e     0     00000008     0           111    3cb3ab79   ffffffff      4    0000000011110000    1111111100001111
 855  0    1        36         000   0000000e     0     00000008     0           111    3cb3ab79   ffffffff      4    1100000000100001    0011111100001110
 860  0    1        0e         111   48590990     1     00000008     0           111    3cb3ab79   ffffffff      4    1100000000100001    0011111100001110
 865  0    1        0e         111   48590990     1     00000008     0           111    0671030c   acecdc59      4    0011000000100010    0000111100001100
 870  0    1        0e         000   48590990     1     00000008     0           111    0671030c   acecdc59      4    0011000000100010    0000111100001100
 875  0    1        0e         000   48590990     1     00000008     0           111    ffffffff   ffffffff      4    0000110000100100    0000001100001000
 880  0    1        08         111   12a90325     1     16cbf92d     1           111    ffffffff   ffffffff      4    0000110000100100    0000001100001000
 885  0    1        08         111   12a90325     1     16cbf92d     1           111    747331e8   00000000      4    0000001100101000    1111110011010111
 890  0    1        08         000   00000035     0     0000002a     0           111    747331e8   00000000      4    0000001100101000    1111110011010111
 895  0    1        08         000   00000035     0     0000002a     0           111    747331e8   00000000      4    1100000000100001    0011110011010110
 900  0    1        35         111   fd7906fa     1     0000002a     0           111    747331e8   00000000      4    1100000000100001    0011110011010110
 905  0    1        35         111   fd7906fa     1     0000002a     0           111    a005a640   b87c1070      4    0011000000100010    0000110011010100
 910  0    1        35         000   fd7906fa     1     0000002a     0           111    a005a640   b87c1070      4    0011000000100010    0000110011010100
 915  0    1        35         000   fd7906fa     1     0000002a     0           111    ffffffff   00000000      4    0000110000100100    0000000011010000
 920  0    1        2a         111   5bd3dbb7     1     ac93e059     1           111    ffffffff   00000000      4    0000110000100100    0000000011010000
 925  0    1        2a         111   5bd3dbb7     1     ac93e059     1           111    cf309c9e   ffffffff      4    0000000011110000    1111111100001111
 930  0    1        2a         000   00000010     0     00000005     0           111    cf309c9e   ffffffff      4    0000000011110000    1111111100001111
 935  0    1        2a         000   00000010     0     00000005     0           111    cf309c9e   ffffffff      4    1100000000100001    0011111100001110
 940  0    1        10         111   6e1e1fdc     1     00000005     0           111    cf309c9e   ffffffff      4    1100000000100001    0011111100001110
 945  0    1        10         111   6e1e1fdc     1     00000005     0           111    aada7455   b1800a63      4    0011000000100010    0000111100001100
 950  0    1        10         000   6e1e1fdc     1     00000005     0           111    aada7455   b1800a63      4    0011000000100010    0000111100001100
 955  0    1        10         000   6e1e1fdc     1     00000005     0           111    ffffffff   ffffffff      4    0000110000100100    0000001100001000
 960  0    1        05         111   f98bc0f3     1     2e36435c     1           111    ffffffff   ffffffff      4    0000110000100100    0000001100001000
 965  0    1        05         111   f98bc0f3     1     2e36435c     1           111    7e2491fc   00000000      4    0000001100101000    1111110011010111
 970  0    1        05         000   0000000c     0     0000002b     0           111    7e2491fc   00000000      4    0000001100101000    1111110011010111
 975  0    1        05         000   0000000c     0     0000002b     0           111    7e2491fc   00000000      4    1100000000100001    0011110011010110
 980  0    1        0c         111   378c736f     1     0000002b     0           111    7e2491fc   00000000      4    1100000000100001    0011110011010110
 985  0    1        0c         111   378c736f     1     0000002b     0           111    9f398e3e   62056bc4      4    0011000000100010    0000110011010100
 990  0    1        0c         000   378c736f     1     0000002b     0           111    9f398e3e   62056bc4      4    0011000000100010    0000110011010100
 995  0    1        0c         000   378c736f     1     0000002b     0           111    00000000   00000000      4    0000110000100100    0000000011010000
1000  0    1        2b         111   67e857cf     1     c03b3e80     1           111    00000000   00000000      4    0000110000100100    0000000011010000
1005  0    1        2b         111   67e857cf     1     c03b3e80     1           111    4483ad89   00000000      4    0000000011110000    1111111100001111
1010  0    1        2b         000   00000016     0     0000002e     0           111    4483ad89   00000000      4    0000000011110000    1111111100001111
1015  0    1        2b         000   00000016     0     0000002e     0           111    4483ad89   00000000      4    1100000000100001    0011111100001110
1020  0    1        16         111   5e5421bc     1     0000002e     0           111    4483ad89   00000000      4    1100000000100001    0011111100001110
1025  0    1        16         111   5e5421bc     1     0000002e     0           111    92f91225   8d94d21b      4    0011000000100010    0000111100001100
1030  0    1        16         000   5e5421bc     1     0000002e     0           111    92f91225   8d94d21b      4    0011000000100010    0000111100001100
1035  0    1        16         000   5e5421bc     1     0000002e     0           111    ffffffff   00000000      4    0000110000100100    0000001100001000
1040  0    1        2e         111   5a9d3bb5     1     dff6f6bf     1           111    ffffffff   00000000      4    0000110000100100    0000001100001000
1045  0    1        2e         111   5a9d3bb5     1     dff6f6bf     1           111    7dfe8ffb   ffffffff      4    0000001100101000    1111110011010111
1050  0    1        2e         000   00000031     0     0000001c     0           111    7dfe8ffb   ffffffff      4    0000001100101000    1111110011010111
1055  0    1        2e         000   00000031     0     0000001c     0           111    7dfe8ffb   ffffffff      4    1100000000100001    0011110011010110
1060  0    1        31         111   b2d14a65     1     0000001c     0           111    7dfe8ffb   ffffffff      4    1100000000100001    0011110011010110
1065  0    1        31         111   b2d14a65     1     0000001c     0           111    75fb21eb   c7b2e28f      4    0011000000100010    0000110011010100
1070  0    1        31         000   b2d14a65     1     0000001c     0           111    75fb21eb   c7b2e28f      4    0011000000100010    0000110011010100
1075  0    1        31         000   b2d14a65     1     0000001c     0           111    00000000   ffffffff      4    0000110000100100    0000000011010000
1080  0    1        1c         111   9f7a0e3e     1     580989b0     1           111    00000000   ffffffff      4    0000110000100100    0000000011010000
1085  0    1        1c         111   9f7a0e3e     1     580989b0     1           111    9541d62a   ffffffff      4    0000000011110000    1111111100001111
1090  0    1        1c         000   0000002b     0     00000014     0           111    9541d62a   ffffffff      4    0000000011110000    1111111100001111
1095  0    1        1c         000   0000002b     0     00000014     0           111    9541d62a   ffffffff      4    1100000000100001    0011111100001110
1100  0    1        2b         111   e5ac10cb     1     00000014     0           111    9541d62a   ffffffff      4    1100000000100001    0011111100001110
1105  0    1        2b         111   e5ac10cb     1     00000014     0           111    feaddcfd   ba603874      4    0011000000100010    0000111100001100
1110  0    1        2b         000   e5ac10cb     1     00000014     0           111    feaddcfd   ba603874      4    0011000000100010    0000111100001100
1115  0    1        2b         000   e5ac10cb     1     00000014     0           111    ffffffff   ffffffff      4    0000110000100100    0000001100001000
1120  0    1        14         111   f0ea70e1     1     e4df16c9     1           111    ffffffff   ffffffff      4    0000110000100100    0000001100001000
1125  0    1        14         111   f0ea70e1     1     e4df16c9     1           111    ea7626d4   ffffffff      4    0000001100101000    1111110011010111
1130  0    1        14         000   00000030     0     00000003     0           111    ea7626d4   ffffffff      4    0000001100101000    1111110011010111
1135  0    1        14         000   00000030     0     00000003     0           111    ea7626d4   ffffffff      4    1100000000100001    0011110011010110
1140  0    1        30         111   4c588f98     1     00000003     0           111    ea7626d4   ffffffff      4    1100000000100001    0011110011010110
1145  0    1        30         111   4c588f98     1     00000003     0           111    468b618d   dc9974b9      4    0011000000100010    0000110011010100
1150  0    1        30         000   4c588f98     1     00000003     0           111    468b618d   dc9974b9      4    0011000000100010    0000110011010100
1155  0    1        30         000   4c588f98     1     00000003     0           111    00000000   ffffffff      4    0000110000100100    0000000011010000
1160  0    1        03         111   b8760270     1     892fc012     1           111    00000000   ffffffff      4    0000110000100100    0000000011010000
1165  0    1        03         111   b8760270     1     892fc012     1           111    29c01f53   ffffffff      4    0000000011110000    1111111100001111
1170  0    1        03         000   00000003     0     00000038     0           111    29c01f53   ffffffff      4    0000000011110000    1111111100001111
1175  0    1        03         000   00000003     0     00000038     0           111    29c01f53   ffffffff      4    1100000000100001    0011111100001110
1180  0    1        03         111   5596ebab     1     00000038     0           111    29c01f53   ffffffff      4    1100000000100001    0011111100001110
1185  0    1        03         111   5596ebab     1     00000038     0           111    1699d12d   98d73831      4    0011000000100010    0000111100001100
1190  0    1        03         000   5596ebab     1     00000038     0           111    1699d12d   98d73831      4    0011000000100010    0000111100001100
1195  0    1        03         000   5596ebab     1     00000038     0           111    ffffffff   ffffffff      4    0000110000100100    0000001100001000
1200  0    1        38         111   c1406282     1     927fa424     1           111    ffffffff   ffffffff      4    0000110000100100    0000001100001000
