Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-1_Full64; Runtime version N-2017.12-SP2-1_Full64;  Mar 15 15:50 2020
start
Time|reset|load_in|CDB_PRF_idx|CDB_valid|opa_in|opa_valid_in|opb_in|opb_valid_in|opa_out|opb_out|num_is_free|is_free_hub|ready_hub|reset_hub
   0  x    x      xx        xxx   xxxxxxxx     x     xxxxxxxx     x    xxxxxxxx   xxxxxxxx      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx     xxxxxxxxxxxxxxxx
  10  1    0      xx        xxx   xxxxxxxx     x     xxxxxxxx     x    00000000   00000000      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx     1111111111111111
 320  0    1      32        010   da269ab4     1     7d6df5fa     1    6464e3c8   35a0c96b     13    0011111111111110    1100000000000001     1100000000000001
 326  0    1      32        010   da269ab4     1     7d6df5fa     1    492fd392   c3339086     13    0011111111111110    1100000000000001     1100000000000001
 330  0    1      3b        010   6543cfca     1     4765a98e     1    492fd392   c3339086     13    0011111111111110    1100000000000001     1100000000000001
 336  0    1      3b        010   6543cfca     1     4765a98e     1    f249a4e4   d095a8a1     13    0011111111111110    1100000000000001     1100000000000001
 340  0    1      2e        010   bab14875     1     4465e788     1    f249a4e4   d095a8a1     13    0011111111111110    1100000000000001     1100000000000001
 346  0    1      2e        010   bab14875     1     4465e788     1    1b60e536   35cdbf6b     13    0011111111111110    1100000000000001     1100000000000001
 350  0    1      2c        010   25b75f4b     1     06b3050d     1    1b60e536   35cdbf6b     13    0011111111111110    1100000000000001     1100000000000001
 356  0    1      2c        010   25b75f4b     1     06b3050d     1    9684e02d   8f1cf61e     13    0011111111111110    1100000000000001     1100000000000001
 360  0    1      1b        010   9dbf643b     1     ab196256     1    9684e02d   8f1cf61e     13    0011111111111110    1100000000000001     1100000000000001
 366  0    1      1b        010   9dbf643b     1     ab196256     1    a0c02441   29efe953     13    0011111111111110    1100000000000001     1100000000000001
 370  0    1      21        010   093e4d12     1     f287b6e5     1    a0c02441   29efe953     13    0011111111111110    1100000000000001     1100000000000001
 376  0    1      21        010   093e4d12     1     f287b6e5     1    ec50b4d8   9c811239     13    0011111111111110    1100000000000001     1100000000000001
 380  0    1      16        010   50d5f9a1     1     2c2d2358     1    ec50b4d8   9c811239     13    0011111111111110    1100000000000001     1100000000000001
 386  0    1      16        010   50d5f9a1     1     2c2d2358     1    13b55527   82223a04     13    0011111111111110    1100000000000001     1100000000000001
 390  0    1      2d        010   2ac2d555     1     7ab11bf5     1    13b55527   82223a04     13    0011111111111110    1100000000000001     1100000000000001
 396  0    1      2d        010   2ac2d555     1     7ab11bf5     1    d8ace2b1   158b2b2b     13    0011111111111110    1100000000000001     1100000000000001
 400  0    1      11        010   dcef90b9     1     64ba0fc9     1    d8ace2b1   158b2b2b     13    0011111111111110    1100000000000001     1100000000000001
 406  0    1      11        010   dcef90b9     1     64ba0fc9     1    f3d7a6e7   6de5bbdb     13    0011111111111110    1100000000000001     1100000000000001
 410  0    1      28        010   41a10583     1     ff4f3cfe     1    f3d7a6e7   6de5bbdb     13    0011111111111110    1100000000000001     1100000000000001
 416  0    1      28        010   41a10583     1     ff4f3cfe     1    a2e62045   b9461472     13    0011111111111110    1100000000000001     1100000000000001
 420  0    1      00        010   20769140     1     e2bf1ac5     1    a2e62045   b9461472     13    0011111111111110    1100000000000001     1100000000000001
 426  0    1      00        010   20769140     1     e2bf1ac5     1    1c719738   7b0da9f6     13    0011111111111110    1100000000000001     1100000000000001
 430  0    1      17        010   1521932a     1     f0b14ee1     1    1c719738   7b0da9f6     13    0011111111111110    1100000000000001     1100000000000001
 436  0    1      17        010   1521932a     1     f0b14ee1     1    1e1c873c   0aec3515     13    0011111111111110    1100000000000001     1100000000000001
 440  0    1      2c        010   60f69dc1     1     03d62707     1    1e1c873c   0aec3515     13    0011111111111110    1100000000000001     1100000000000001
 446  0    1      2c        010   60f69dc1     1     03d62707     1    1297cb25   ad67e25a     13    0011111111111110    1100000000000001     1100000000000001
 450  0    1      20        010   fbdfc2f7     1     2ab8f755     1    1297cb25   ad67e25a     13    0011111111111110    1100000000000001     1100000000000001
 456  0    1      20        010   fbdfc2f7     1     2ab8f755     1    5b60e5b6   ae78585c     13    0011111111111110    1100000000000001     1100000000000001
 460  0    1      3d        010   86dcf00d     1     cf63da9e     1    5b60e5b6   ae78585c     13    0011111111111110    1100000000000001     1100000000000001
 466  0    1      3d        010   86dcf00d     1     cf63da9e     1    6e8af5dd   bccc4279     13    0011111111111110    1100000000000001     1100000000000001
 470  0    1      20        010   0e92431d     1     ca9cbc95     1    6e8af5dd   bccc4279     13    0011111111111110    1100000000000001     1100000000000001
 476  0    1      20        010   0e92431d     1     ca9cbc95     1    71c129e3   22119f44     13    0011111111111110    1100000000000001     1100000000000001
 480  0    1      10        010   a95fc452     1     c63a928c     1    71c129e3   22119f44     13    0011111111111110    1100000000000001     1100000000000001
 486  0    1      10        010   a95fc452     1     c63a928c     1    46dcb78d   236afd46     13    0011111111111110    1100000000000001     1100000000000001
 490  0    1      26        010   3e6f0f7c     1     c5a1608b     1    46dcb78d   236afd46     13    0011111111111110    1100000000000001     1100000000000001
 496  0    1      26        010   3e6f0f7c     1     c5a1608b     1    d55bbcaa   5d4a4dba     13    0011111111111110    1100000000000001     1100000000000001
 500  0    1      07        010   8a64b014     1     ae68305c     1    d55bbcaa   5d4a4dba     13    0011111111111110    1100000000000001     1100000000000001
 506  0    1      07        010   8a64b014     1     ae68305c     1    a48f7c49   25f2034b     13    0011111111111110    1100000000000001     1100000000000001
 510  0    1      11        010   9622502c     1     b522406a     1    a48f7c49   25f2034b     13    0011111111111110    1100000000000001     1100000000000001
 516  0    1      11        010   9622502c     1     b522406a     1    6851e5d0   03e9b707     13    0011111111111110    1100000000000001     1100000000000001
 520  0    1      1f        010   11fe0523     1     9ca70439     1    6851e5d0   03e9b707     13    0011111111111110    1100000000000001     1100000000000001
 526  0    1      1f        010   11fe0523     1     9ca70439     1    76295bec   64e165c9     13    0011111111111110    1100000000000001     1100000000000001
 530  0    1      1c        010   41103982     1     1000b720     1    76295bec   64e165c9     13    0011111111111110    1100000000000001     1100000000000001
 536  0    1      1c        010   41103982     1     1000b720     1    583125b0   ecb91ad9     13    0011111111111110    1100000000000001     1100000000000001
 540  0    1      39        010   aed72e5d     1     95a9a82b     1    583125b0   ecb91ad9     13    0011111111111110    1100000000000001     1100000000000001
 546  0    1      39        010   aed72e5d     1     95a9a82b     1    e471f8c8   4226a984     13    0011111111111110    1100000000000001     1100000000000001
 550  0    1      3b        010   b759ea6e     1     535277a6     1    e471f8c8   4226a984     13    0011111111111110    1100000000000001     1100000000000001
 556  0    1      3b        010   b759ea6e     1     535277a6     1    e82b96d0   6d8b87db     13    0011111111111110    1100000000000001     1100000000000001
 560  0    1      11        010   2ca81959     1     4839e590     1    e82b96d0   6d8b87db     13    0011111111111110    1100000000000001     1100000000000001
 566  0    1      11        010   2ca81959     1     4839e590     1    8653620c   67d735cf     13    0011111111111110    1100000000000001     1100000000000001
 570  0    1      06        010   4ddd4d9b     1     dbe6f2b7     1    8653620c   67d735cf     13    0011111111111110    1100000000000001     1100000000000001
 576  0    1      06        010   4ddd4d9b     1     dbe6f2b7     1    ec3758d8   5c78b1b8     13    0011111111111110    1100000000000001     1100000000000001
 580  0    1      01        010   03878707     1     45e28b8b     1    ec3758d8   5c78b1b8     13    0011111111111110    1100000000000001     1100000000000001
 586  0    1      01        010   03878707     1     45e28b8b     1    6a15f5d4   74a1ade9     13    0011111111111110    1100000000000001     1100000000000001
 590  0    1      29        010   9827fa30     1     57fbb9af     1    6a15f5d4   74a1ade9     13    0011111111111110    1100000000000001     1100000000000001
 596  0    1      29        010   9827fa30     1     57fbb9af     1    e2ecdac5   b302da66     13    0011111111111110    1100000000000001     1100000000000001
 600  0    1      28        010   cab47c95     1     f29c5ee5     1    e2ecdac5   b302da66     13    0011111111111110    1100000000000001     1100000000000001
 606  0    1      28        010   cab47c95     1     f29c5ee5     1    70ef37e1   304e4d60     13    0011111111111110    1100000000000001     1100000000000001
 610  0    1      30        010   3715156e     1     3437d568     1    70ef37e1   304e4d60     13    0011111111111110    1100000000000001     1100000000000001
 616  0    1      30        010   3715156e     1     3437d568     1    bbbc5277   6a9fb9d5     13    0011111111111110    1100000000000001     1100000000000001
 620  0    1      2f        010   472e958e     1     d4b5e6a9     1    bbbc5277   6a9fb9d5     13    0011111111111110    1100000000000001     1100000000000001
 626  0    1      2f        010   472e958e     1     d4b5e6a9     1    be9bbc7d   1e664d3c     13    0011111111111110    1100000000000001     1100000000000001
 630  0    1      37        010   098e2d13     1     28c62751     1    be9bbc7d   1e664d3c     13    0011111111111110    1100000000000001     1100000000000001
 636  0    1      37        010   098e2d13     1     28c62751     1    5cd20db9   32dc4165     13    0011111111111110    1100000000000001     1100000000000001
 640  0    1      25        010   f2356ae4     1     2cee5f59     1    5cd20db9   32dc4165     13    0011111111111110    1100000000000001     1100000000000001
 646  0    1      25        010   f2356ae4     1     2cee5f59     1    317c0762   beda447d     13    0011111111111110    1100000000000001     1100000000000001
 650  0    1      22        010   eda71cdb     1     8326d406     1    317c0762   beda447d     13    0011111111111110    1100000000000001     1100000000000001
 656  0    1      22        010   eda71cdb     1     8326d406     1    57c1d1af   38139f70     13    0011111111111110    1100000000000001     1100000000000001
 660  0    1      1c        010   bd86f47b     1     7b7b89f6     1    57c1d1af   38139f70     13    0011111111111110    1100000000000001     1100000000000001
 666  0    1      1c        010   bd86f47b     1     7b7b89f6     1    a86c5e50   bc3f8478     13    0011111111111110    1100000000000001     1100000000000001
 670  0    1      14        010   870cee0e     1     e70f98ce     1    a86c5e50   bc3f8478     13    0011111111111110    1100000000000001     1100000000000001
 676  0    1      14        010   870cee0e     1     e70f98ce     1    ddd146bb   0671030c     13    0011111111111110    1100000000000001     1100000000000001
 680  0    1      15        010   baf4e275     1     01729302     1    ddd146bb   0671030c     13    0011111111111110    1100000000000001     1100000000000001
 686  0    1      15        010   baf4e275     1     01729302     1    7a4fbff4   9cfc7a39     13    0011111111111110    1100000000000001     1100000000000001
 690  0    1      10        010   847fb208     1     747331e8     1    7a4fbff4   9cfc7a39     13    0011111111111110    1100000000000001     1100000000000001
 696  0    1      10        010   847fb208     1     747331e8     1    5c7951b8   d7b48eaf     13    0011111111111110    1100000000000001     1100000000000001
 700  0    1      29        010   12a90325     1     16cbf92d     1    5c7951b8   d7b48eaf     13    0011111111111110    1100000000000001     1100000000000001
 706  0    1      29        010   12a90325     1     16cbf92d     1    a005a640   b87c1070     13    0011111111111110    1100000000000001     1100000000000001
 710  0    1      1d        010   d0cf6aa1     1     7a87aff5     1    a005a640   b87c1070     13    0011111111111110    1100000000000001     1100000000000001
 716  0    1      1d        010   d0cf6aa1     1     7a87aff5     1    28766950   faf32ef5     13    0011111111111110    1100000000000001     1100000000000001
 720  0    1      13        010   cf309c9e     1     83fa6407     1    28766950   faf32ef5     13    0011111111111110    1100000000000001     1100000000000001
 726  0    1      13        010   cf309c9e     1     83fa6407     1    dc4308b8   23400b46     13    0011111111111110    1100000000000001     1100000000000001
 730  0    1      10        010   ac93e059     1     8f63e41e     1    dc4308b8   23400b46     13    0011111111111110    1100000000000001     1100000000000001
 736  0    1      10        010   ac93e059     1     8f63e41e     1    b1800a63   b4497668     13    0011111111111110    1100000000000001     1100000000000001
 740  0    1      0d        010   6826d9d0     1     a2cc8845     1    b1800a63   b4497668     13    0011111111111110    1100000000000001     1100000000000001
 746  0    1      0d        010   6826d9d0     1     a2cc8845     1    55861fab   6c6a6dd8     13    0011111111111110    1100000000000001     1100000000000001
 750  0    1      18        010   0c978d19     1     f98bc0f3     1    55861fab   6c6a6dd8     13    0011111111111110    1100000000000001     1100000000000001
 756  0    1      18        010   0c978d19     1     f98bc0f3     1    d27f0aa4   9f398e3e     13    0011111111111110    1100000000000001     1100000000000001
 760  0    1      03        010   0c161918     1     0d12031a     1    d27f0aa4   9f398e3e     13    0011111111111110    1100000000000001     1100000000000001
 766  0    1      03        010   0c161918     1     0d12031a     1    cd1d509a   5515d1aa     13    0011111111111110    1100000000000001     1100000000000001
 770  0    1      2f        010   75ad73eb     1     4483ad89     1    cd1d509a   5515d1aa     13    0011111111111110    1100000000000001     1100000000000001
 776  0    1      2f        010   75ad73eb     1     4483ad89     1    61dafdc3   792c03f2     13    0011111111111110    1100000000000001     1100000000000001
 780  0    1      1d        010   67e857cf     1     c03b3e80     1    61dafdc3   792c03f2     13    0011111111111110    1100000000000001     1100000000000001
 786  0    1      1d        010   67e857cf     1     c03b3e80     1    92f91225   8d94d21b     13    0011111111111110    1100000000000001     1100000000000001
 790  0    1      2a        010   196a0332     1     8b42ec16     1    92f91225   8d94d21b     13    0011111111111110    1100000000000001     1100000000000001
 796  0    1      2a        010   196a0332     1     8b42ec16     1    1b368b36   f24baee4     13    0011111111111110    1100000000000001     1100000000000001
 800  0    1      01        010   7dfe8ffb     1     0bec5717     1    1b368b36   f24baee4     13    0011111111111110    1100000000000001     1100000000000001
 806  0    1      01        010   7dfe8ffb     1     0bec5717     1    b8c0c271   ee7068dc     13    0011111111111110    1100000000000001     1100000000000001
 810  0    1      02        010   dff6f6bf     1     eb1d02d6     1    b8c0c271   ee7068dc     13    0011111111111110    1100000000000001     1100000000000001
 816  0    1      02        010   dff6f6bf     1     eb1d02d6     1    c7b2e28f   e9b49ad3     13    0011111111111110    1100000000000001     1100000000000001
 820  0    1      18        010   f8c714f1     1     0e3aeb1c     1    c7b2e28f   e9b49ad3     13    0011111111111110    1100000000000001     1100000000000001
 826  0    1      18        010   f8c714f1     1     0e3aeb1c     1    87628e0e   02bd4305     13    0011111111111110    1100000000000001     1100000000000001
 830  0    1      28        010   81fa3603     1     9f7a0e3e     1    87628e0e   02bd4305     13    0011111111111110    1100000000000001     1100000000000001
 836  0    1      28        010   81fa3603     1     9f7a0e3e     1    1b920537   feaddcfd     13    0011111111111110    1100000000000001     1100000000000001
 840  0    1      33        010   b46afc68     1     1b0f0d36     1    1b920537   feaddcfd     13    0011111111111110    1100000000000001     1100000000000001
